,Excess Mean
STX,0.0838454211299616
STZ,0.12763829868726922
SWK,0.03328164800852493
SWKS,0.147898699328393
SYF,0.06034017489718057
SYK,0.14249302296038005
T,0.020786447018597377
TAP,0.02353059284785114
TDG,0.22467777078000106
TEL,0.10493281787548155
TER,0.18045315396940187
TGT,0.10083351312749343
TIP,0.012878339646527369
TLT,0.01176064420852639
TMO,0.15213848633559526
TSLA,0.3127522622032812
TXN,0.1555670997073716
UNH,0.20205289625854866
UPS,0.06379545854718466
USB,0.0310774185283915
V,0.15322471951071281
VGIT,0.004298776555662405
VGLT,0.012397703552782859
VGSH,0.0006925085431280532
VRTX,0.1619196891369238
WM,0.15312464631703449
WMT,0.08157839325045509
XOM,0.034232308705090364
ZTS,0.17924498289488433
